rcrd,personal,qdtamt,date,recurring,frequency,status,processed,new_date
task_1,1,0,45382,0,,X,0,45382
task_2,0,0,45376,1,W,X,1,45376
task_3,0,0,45384,1,W,X,1,45384
task_4,0,0,45376,1,W,X,1,45376
task_5,1,0,45376,1,W,X,1,45376
task_6,0,0,45383,1,W,X,1,45383
task_7,1,0,45383,1,W,X,1,45383
task_8,0,0,45377,1,W,X,1,45377
task_9,0,0,45383,1,W,X,1,45383
task_10,1,0,45493,0,,X,0,45495
task_11,0,0,45378,1,W,X,1,45378
task_12,0,0,45378,1,W,X,1,45378
task_13,0,0,45387,1,W,X,1,45387
task_14,0,0,45385,1,W,X,1,45385
task_15,0,0,45379,1,W,X,1,45379
task_16,0,0,45386,1,W,X,1,45386
task_17,0,0,45380,1,W,X,1,45380
task_18,0,0,45387,1,W,X,1,45387
task_19,0,0,45383,1,M,X,1,45383
task_20,0,0,45384,1,M,X,1,45384
task_21,0,0,45384,1,M,X,1,45384
task_22,0,0,45388,1,M,X,1,45388
task_23,0,0,45379,1,M,W ,0,45395
task_24,0,9000,45338,0,,P,0,45338
task_25,0,9000,45338,0,,P,0,45338
task_26,0,9000,45338,0,,P,0,45338
task_27,0,0,45488,0,,O,0,45575
task_28,0,0,45493,0,,O,0,45575
task_29,0,9000,45338,0,,P,0,45338
task_30,0,9000,45228,0,,P,0,45228
task_31,0,9000,45228,0,,P,0,45228
task_32,0,0,45352,0,,X,0,45352
task_33,0,9000,45228,0,,P,0,45228
task_34,0,9000,45280,0,,P,0,45280
task_35,0,10000,45413,0,,P,0,45513
task_36,0,0,45379,1,M,X,1,45413
task_37,0,0,45391,1,M,X,1,45391
task_38,0,9000,45405,0,,P,0,45564
task_39,0,0,45407,1,Y,X,1,45459
task_40,0,0,45405,1,Y,P,1,45513
task_41,0,0,45392,1,Y,P,1,45413
task_42,0,0,45392,1,Y,X,1,45509
task_43,0,0,45444,1,Y,O,0,45444
task_44,0,0,45756,1,Y,S,1,45756
task_45,0,0,45388,1,Y,X,1,45413
task_46,1,0,45383,1,M,X,1,45383
task_47,1,0,45413,1,M,X,1,45413
task_48,0,0,45390,1,W,X,1,45390
task_49,1,0,45390,1,W,X,1,45390
task_50,0,0,45390,1,W,X,1,45390
task_51,0,0,45390,1,W,X,1,45390
task_52,1,0,45384,0,,X,0,45384
task_53,0,0,45410,1,M,X,1,45413
task_54,0,0,45410,1,M,X,1,45416
task_55,0,0,45410,1,M,X,1,45415
task_56,0,0,45384,1,W,X,1,45384
task_57,0,0,45395,1,W,C,1,45395
task_58,1,0,45386,0,,X,0,45386
task_59,1,0,45385,0,,X,0,45509
task_60,0,0,45392,1,W,C,1,45392
task_61,0,0,45385,1,M,X,1,45385
task_62,0,0,45407,1,M,X,1,45407
